ax,ay,az,label
0.015625,-0.138062,-1.035034,1
0.014771,-0.138550,-1.031738,1
0.016846,-0.139771,-1.025269,1
0.015503,-0.138184,-1.023193,1
0.015137,-0.140869,-1.021851,1
0.015137,-0.144409,-1.022705,1
0.016479,-0.145386,-1.023193,1
0.015991,-0.145996,-1.024414,1
0.015991,-0.147339,-1.026489,1
0.016724,-0.148071,-1.026733,1
0.015015,-0.146729,-1.026001,1
0.065308,-0.140503,-1.036133,1
0.010254,-0.150513,-0.995483,1
0.049194,-0.137573,-1.046753,1
0.189575,-0.116089,-1.001099,1
-0.074585,-0.174438,-1.001343,1
-0.166748,-0.185669,-1.044922,1
0.110718,-0.123047,-1.034790,1
0.146362,-0.122559,-0.994385,1
-0.119873,-0.168335,-1.052002,1
0.159302,-0.102417,-1.026855,1
0.082886,-0.124878,-0.997681,1
-0.181641,-0.183105,-1.034180,1
-0.052856,-0.149170,-1.064331,1
0.015137,-0.139038,-1.007202,1
-0.192749,-0.177856,-1.049805,1
0.021606,-0.125244,-1.063965,1
0.187256,-0.094482,-1.019409,1
-0.062134,-0.152344,-1.017700,1
-0.182007,-0.173218,-1.060791,1
0.156738,-0.109619,-1.017456,1
-0.125000,-0.174316,-1.032959,1
-0.131714,-0.169312,-1.075562,1
0.154419,-0.108643,-1.051514,1
0.104248,-0.124878,-1.013306,1
-0.067993,-0.148804,-1.066406,1
0.187988,-0.092407,-1.026855,1
0.035889,-0.128662,-1.001709,1
-0.190918,-0.174927,-1.044189,1
0.009155,-0.128174,-1.062988,1
-0.035522,-0.150269,-1.014282,1
-0.175781,-0.176880,-1.062134,1
0.086914,-0.118896,-1.059570,1
0.177612,-0.105591,-1.014282,1
-0.105835,-0.167358,-1.022949,1
-0.143188,-0.167358,-1.066528,1
0.124023,-0.115845,-1.001709,1
-0.159546,-0.178833,-1.026001,1
-0.081909,-0.157227,-1.059448,1
0.159546,-0.105591,-1.017334,1
0.003784,-0.150513,-1.020386,1
0.006836,-0.150024,-1.027222,1
0.005493,-0.150757,-1.026611,1
0.002197,-0.150513,-1.027588,1
0.001709,-0.149048,-1.026001,1
0.001221,-0.145264,-1.024292,1
0.000610,-0.142944,-1.022217,1
0.000732,-0.143433,-1.022949,1
0.000610,-0.148315,-1.025146,1
0.001587,-0.150146,-1.026733,1
0.000977,-0.149780,-1.026855,1
0.000977,-0.151367,-1.026855,1
0.000488,-0.150269,-1.027100,1
-0.000977,-0.152344,-1.028442,1
0.000488,-0.151978,-1.030151,1
0.000488,-0.149414,-1.028931,1
0.000488,-0.146484,-1.030884,1
-0.009277,-0.148437,-1.036987,1
0.173096,-0.106934,-1.019531,1
-0.117676,-0.168457,-1.020508,1
-0.138428,-0.167358,-1.062256,1
0.147095,-0.107422,-1.040894,1
0.113159,-0.124268,-1.003296,1
-0.077026,-0.161133,-1.063232,1
0.185913,-0.107056,-1.026978,1
0.042358,-0.139771,-0.999634,1
-0.193481,-0.186279,-1.041016,1
-0.003296,-0.139771,-1.061401,1
-0.032593,-0.154419,-1.011719,1
-0.188232,-0.184326,-1.058228,1
0.070190,-0.124268,-1.056152,1
0.173340,-0.109985,-1.009399,1
-0.105103,-0.172363,-1.015747,1
-0.152588,-0.177368,-1.039917,1
0.126221,-0.122803,-1.000122,1
-0.158447,-0.187134,-1.026245,1
-0.094116,-0.166748,-1.063843,1
0.176270,-0.108154,-1.030518,1
0.059814,-0.140991,-0.999390,1
-0.027344,-0.148437,-1.061768,1
0.189331,-0.105469,-1.018433,1
-0.017090,-0.152588,-1.004150,1
-0.193115,-0.184937,-1.046143,1
0.046997,-0.131348,-1.053101,1
-0.091553,-0.168579,-1.007446,1
-0.166504,-0.183594,-1.053833,1
0.114502,-0.120728,-1.042603,1
0.136597,-0.125366,-1.000854,1
-0.150269,-0.189575,-1.021973,1
-0.114258,-0.174805,-1.063599,1
0.078735,-0.133179,-1.002197,1
-0.185303,-0.188843,-1.036133,1
-0.046143,-0.152344,-1.065186,1
0.189087,-0.103271,-1.025513,1
0.002808,-0.149658,-1.005493,1
0.049072,-0.135376,-1.059082,1
0.030396,-0.149902,-1.021118,1
-0.011108,-0.157104,-1.031006,1
-0.001953,-0.153198,-1.028809,1
0.000610,-0.150879,-1.028320,1
-0.001953,-0.151978,-1.029907,1
-0.005005,-0.149048,-1.028076,1
-0.002930,-0.149902,-1.028076,1
-0.004028,-0.151489,-1.029541,1
-0.005859,-0.157349,-1.031128,1
0.000610,-0.158325,-1.028809,1
-0.002686,-0.156372,-1.027832,1
-0.001831,-0.153076,-1.027466,1
-0.001587,-0.152588,-1.025757,1
-0.005005,-0.149902,-1.027710,1
-0.003906,-0.147339,-1.026978,1
-0.002808,-0.148560,-1.027954,1
